benchmark,category,old_mlir_ms,new_mlir_ms,mlir_ratio,old_torch_jit_ms,new_torch_ms,torch_ratio
add_256_11_11_672,add,30.960737,31.319269,1.011580,6.428242,6.908124,1.074652
add_256_14_14_1024,add,67.530042,66.952538,0.991448,15.478921,17.527356,1.132337
add_256_14_14_88,add,4.525846,9.151285,2.022005,0.749326,1.774828,2.368566
add_256_15_15_304,add,25.907852,26.045042,1.005295,5.370545,5.722766,1.065584
add_256_21_21_336,add,57.319215,56.995972,0.994361,11.589122,12.065914,1.041141
add_256_28_28_512,add,132.624072,132.900760,1.002086,31.029820,33.770890,1.088337
add_256_42_42_168,add,113.291750,112.338789,0.991588,22.927308,24.156924,1.053631
add_256_56_56_256,add,261.321648,265.577669,1.016287,62.120056,64.578398,1.039574
add_256_7_7_176,add,2.626223,6.001376,2.285174,0.167871,0.343855,2.048329
add_256_7_7_2048,add,33.254618,33.529613,1.008269,7.775950,8.535205,1.097641
conv_2d_nchw_fchw_256_128_14_14_32_3_3_12_12,conv2d,1710.017025,1710.671305,1.000383,6.793547,13.300306,1.957785
conv_2d_nchw_fchw_256_128_28_28_128_3_3_26_26,conv2d,32179.773848,32194.899689,1.000470,113.589048,133.165060,1.172341
conv_2d_nchw_fchw_256_128_28_28_32_3_3_26_26,conv2d,8045.632605,8046.255444,1.000077,36.989927,58.375347,1.578142
conv_2d_nchw_fchw_256_128_28_28_512_1_1_28_28,conv2d,18251.855245,18295.852927,1.002411,88.021874,41.282813,0.469006
conv_2d_nchw_fchw_256_128_7_7_32_3_3_5_5,conv2d,296.284549,296.411534,1.000429,1.591015,3.346549,2.103405
conv_2d_nchw_fchw_256_16_128_128_8_7_7_61_61,conv2d,8455.311097,8676.170753,1.026121,84.695053,234.938459,2.773934
conv_2d_nchw_fchw_256_256_14_14_1024_1_1_14_14,conv2d,16749.534237,16734.067679,0.999077,68.843532,35.868511,0.521015
conv_2d_nchw_fchw_256_256_14_14_256_3_3_12_12,conv2d,27472.631927,27492.669646,1.000729,100.333762,79.311113,0.790473
conv_2d_nchw_fchw_256_256_16_16_256_3_3_14_14,conv2d,46941.259802,47101.648731,1.003417,137.865400,123.801261,0.897986
conv_2d_nchw_fchw_256_32_32_32_256_7_7_13_13,conv2d,22698.251208,22750.644572,1.002308,80.728936,75.591628,0.936363
conv_2d_nchw_fchw_256_336_14_14_336_1_1_14_14,conv2d,7183.555450,7226.915449,1.006036,31.622005,15.484222,0.489666
conv_2d_nchw_fchw_256_3_230_230_64_7_7_112_112,conv2d,34020.730368,34039.177709,1.000542,174.258327,282.965279,1.623826
conv_2d_nchw_fchw_256_448_28_28_448_1_1_28_28,conv2d,58913.834796,58985.134151,1.001210,195.542288,132.565737,0.677939
conv_2d_nchw_fchw_256_512_28_28_128_1_1_28_28,conv2d,19266.666084,19267.460218,1.000041,83.937311,52.407330,0.624363
