Benchmark,MLIR,MLIR RL,PyTorch,PyTorch JIT
matmul_256_2048_1000,728789978,7972537,8165169,8172274
matmul_256_1280_1000,455310486,4443429,6504655,6512475
matmul_256_1536_1000,545394477,5909925,7038641,7031059
matmul_256_1408_1000,499132306,4470148,6776857,6807113
matmul_256_768_768,365157265,2680689,4949450,4953003
matmul_256_1024_1024,611369323,6587346,5917430,5924416
matmul_256_768_3072,1930393662,9695394,8200407,8221459
matmul_256_256_128,18263742,137347,4182577,3853512
matmul_256_4096_1024,2607552542,39871818,12437940,12430978
matmul_256_1536_4096,3970834862,42695365,16094899,15731645
matmul_256_768_2,491369,24935,3796721,3775859
matmul_256_2048_2048,2600816998,28079419,12541413,12275147
matmul_256_128_256,14469671,136843,3839183,3847146
matmul_256_256_512,84773510,458618,4065371,4091001
matmul_256_512_1024,341703162,2673771,4685163,4699302
conv_2d_nchw_fchw_256_256_14_14_256_3_3_12_12,27472631927,466129848,97564244,100333762
conv_2d_nchw_fchw_256_256_14_14_1024_1_1_14_14,16749534237,158164604,68855238,68843532
conv_2d_nchw_fchw_256_128_28_28_128_3_3_26_26,32179773848,581233467,115398479,113589048
conv_2d_nchw_fchw_256_128_28_28_512_1_1_28_28,18251855245,223211043,87747073,88021874
conv_2d_nchw_fchw_256_512_28_28_128_1_1_28_28,19266666084,408696899,83973742,83937311
conv_2d_nchw_fchw_256_128_14_14_32_3_3_12_12,1710017025,43152132,11113334,6793547
conv_2d_nchw_fchw_256_128_7_7_32_3_3_5_5,296284549,10295193,1576352,1591015
conv_2d_nchw_fchw_256_256_16_16_256_3_3_14_14,46941259802,624725687,134289455,137865400
conv_2d_nchw_fchw_256_576_14_14_576_1_1_14_14,23234713103,202922726,78237343,78253865
conv_2d_nchw_fchw_256_128_28_28_32_3_3_26_26,8045632605,198774597,33242226,36989927
conv_2d_nchw_fchw_256_336_14_14_336_1_1_14_14,7183555450,72521770,31540322,31622005
conv_2d_nchw_fchw_256_64_56_56_64_3_3_54_54,34437653582,764553556,130154157,133174896
conv_2d_nchw_fchw_256_448_28_28_448_1_1_28_28,58913834796,817195308,197795701,195542288
conv_2d_nchw_fchw_256_64_56_56_256_1_1_56_56,19599890579,269794533,129600787,129480243
conv_2d_nchw_fchw_256_16_128_128_8_7_7_61_61,8455311097,449087839,87000370,84695053
conv_2d_nchw_fchw_256_64_64_64_16_3_3_62_62,14157245756,401495564,74935412,77977681
conv_2d_nchw_fchw_256_32_32_32_256_7_7_13_13,22698251208,644095744,80754852,80728936
conv_2d_nchw_fchw_256_3_230_230_64_7_7_112_112,34020730368,6896380970,176025820,174258327
add_256_14_14_1024,67530042,40434433,15490580,15478921
add_256_28_28_512,132624072,49593449,32767415,31029820
add_256_7_7_2048,33254618,8022107,7702446,7775950
add_256_56_56_256,261321648,131330846,62052345,62120056
add_256_21_21_336,57319215,14728845,11657357,11589122
add_256_11_11_672,30960737,15327067,6375122,6428242
add_256_42_42_168,113291750,14992108,22833967,22927308
add_256_15_15_304,25907852,13753164,5360270,5370545
add_256_14_14_88,4525846,819030,750041,749326
add_256_7_7_176,2626223,863836,152278,167871
relu_256_2048,403877,249716,34356,38433
relu_256_512,91966,53781,19431,24295
relu_256_1000,183125,199930,21029,24891
relu_256_100,16734,21297,12469,17309
relu_256_10,2040,10530,3648,6819
relu_256_57_57_64,67530770,12037045,11607575,11638260
relu_256_74_74_64,113994321,20996163,19721222,19740438
relu_256_36_36_192,79798520,80314885,13988566,13965368
relu_256_85_85_42,98881899,17709536,19379735,17023301
relu_256_43_43_84,50267476,8391250,8777189,8781481
relu_256_23_23_336,57944387,29121587,10025001,10329342
relu_256_14_14_672,43681877,25154108,7542562,7588100
relu_256_29_29_22,4965081,2389947,488663,455999
relu_256_14_14_88,4241169,796382,529909,388765
pooling_nchw_max_256_64_114_114_3_56_56,503869961,42797617,546367192,419409060
pooling_nchw_max_256_64_147_147_3_73_73,830892713,72091209,617149186,616799569
pooling_nchw_max_256_192_71_71_3_35_35,577760615,51104840,428562021,428179693
pooling_nchw_max_256_42_167_167_3_83_83,707560737,59953016,523170781,522887397
pooling_nchw_max_256_84_85_85_3_42_42,360860881,31639321,269628286,269749951
pooling_nchw_max_256_336_43_43_3_21_21,361109425,32487488,273689818,273586202
pooling_nchw_max_256_672_23_23_3_11_11,242481408,22229026,153489280,152945614
pooling_nchw_max_256_11_113_113_3_56_56,84975957,7829031,67053843,63627887
pooling_nchw_max_256_22_57_57_3_28_28,42920266,4163614,31422758,31414652
pooling_nchw_max_256_88_29_29_3_14_14,54064804,6769526,32012439,31933928
