kernel,category,speedup,exec_time_ms,torch_time_ms,speedup_to_torch
matmul_256_1024_1024,matmul,570.015535,1.174809,1.794884,1.527809
matmul_256_1280_1024,matmul,536.777507,1.607249,1.219022,0.758452
matmul_256_128_256,matmul,75.994125,0.144340,0.553960,3.837883
matmul_256_1536_1024,matmul,551.307891,1.875097,1.998730,1.065934
matmul_256_1536_4096,matmul,314.876472,12.471218,8.062012,0.646449
matmul_256_1792_1024,matmul,535.777480,2.254348,2.391172,1.060693
matmul_256_2048_1024,matmul,607.988274,2.205724,2.388486,1.082858
matmul_256_2048_2048,matmul,267.007647,9.684687,5.918599,0.611130
matmul_256_256_128,matmul,51.839565,0.216692,0.280432,1.294150
matmul_256_256_512,matmul,242.956208,0.354924,0.199200,0.561247
matmul_256_4096_1024,matmul,450.058038,5.761574,5.781088,1.003387
matmul_256_512_1024,matmul,440.848450,0.782633,0.562158,0.718291
matmul_256_768_3072,matmul,324.419172,4.659249,3.391218,0.727846
matmul_256_768_768,matmul,494.358967,0.757051,1.355682,1.790741
