kernel,category,speedup,exec_time_ms,torch_time_ms,speedup_to_torch
add_256_11_11_672,add,7.214855,4.340942,6.908124,1.591388
add_256_14_14_1024,add,6.530864,10.251712,17.527356,1.709700
add_256_14_14_88,add,4.935303,1.854250,1.774828,0.957168
add_256_15_15_304,add,7.089365,3.673819,5.722766,1.557716
add_256_21_21_336,add,7.197692,7.918646,12.065914,1.523734
add_256_28_28_512,add,6.318350,21.034094,33.770890,1.605531
add_256_42_42_168,add,6.893390,16.296595,24.156924,1.482330
add_256_56_56_256,add,6.178115,42.986846,64.578398,1.502283
add_256_7_7_176,add,5.932588,1.011595,0.343855,0.339914
add_256_7_7_2048,add,6.813432,4.921105,8.535205,1.734408
