kernel,category,speedup,exec_time_ms,torch_time_ms,speedup_to_torch
matmul_256_1024_1024,matmul,337.364818,1.984971,1.794884,0.904237
matmul_256_1280_1024,matmul,471.658771,1.829151,1.219022,0.666441
matmul_256_128_256,matmul,76.816359,0.142795,0.553960,3.879408
matmul_256_1536_1024,matmul,620.713288,1.665432,1.998730,1.200127
matmul_256_1536_4096,matmul,457.062338,8.591592,8.062012,0.938361
matmul_256_1792_1024,matmul,627.420439,1.925071,2.391172,1.242121
matmul_256_2048_1024,matmul,618.583187,2.167945,2.388486,1.101728
matmul_256_2048_2048,matmul,469.597823,5.506596,5.918599,1.074820
matmul_256_256_128,matmul,77.397349,0.145137,0.280432,1.932188
matmul_256_256_512,matmul,301.367862,0.286132,0.199200,0.696182
matmul_256_4096_1024,matmul,480.753346,5.393707,5.781088,1.071821
matmul_256_512_1024,matmul,331.796793,1.039861,0.562158,0.540609
matmul_256_768_3072,matmul,554.062357,2.728122,3.391218,1.243060
matmul_256_768_768,matmul,404.888840,0.924340,1.355682,1.466649
