kernel,category,speedup,exec_time_ms,torch_time_ms,speedup_to_torch
matmul_256_1024_1024,matmul,535.766509,1.249909,1.794884,1.436012
matmul_256_1280_1024,matmul,536.027785,1.609497,1.219022,0.757393
matmul_256_128_256,matmul,79.773907,0.137501,0.553960,4.028771
matmul_256_1536_1024,matmul,535.132597,1.931775,1.998730,1.034660
matmul_256_1536_4096,matmul,247.987447,15.835048,8.062012,0.509125
matmul_256_1792_1024,matmul,547.706106,2.205250,2.391172,1.084309
matmul_256_2048_1024,matmul,531.997006,2.520793,2.388486,0.947514
matmul_256_2048_2048,matmul,431.740779,5.989440,5.918599,0.988172
matmul_256_256_128,matmul,81.560303,0.137729,0.280432,2.036114
matmul_256_256_512,matmul,342.493621,0.251774,0.199200,0.791186
matmul_256_4096_1024,matmul,436.714668,5.937613,5.781088,0.973638
matmul_256_512_1024,matmul,352.859556,0.977790,0.562158,0.574927
matmul_256_768_3072,matmul,546.452821,2.766112,3.391218,1.225987
matmul_256_768_768,matmul,439.043244,0.852433,1.355682,1.590368
