kernel,category,speedup,exec_time_ms,torch_time_ms,speedup_to_torch
conv_2d_nchw_fchw_256_128_14_14_32_3_3_12_12,conv_2d_nchw_fchw,223.119593,7.667060,13.300306,1.734734
conv_2d_nchw_fchw_256_128_28_28_128_3_3_26_26,conv_2d_nchw_fchw,181.993699,176.901178,133.165060,0.752765
conv_2d_nchw_fchw_256_128_28_28_32_3_3_26_26,conv_2d_nchw_fchw,179.416878,44.846703,58.375347,1.301664
conv_2d_nchw_fchw_256_128_28_28_512_1_1_28_28,conv_2d_nchw_fchw,135.360897,135.163502,41.282813,0.305429
conv_2d_nchw_fchw_256_128_7_7_32_3_3_5_5,conv_2d_nchw_fchw,87.484412,3.388164,3.346549,0.987718
conv_2d_nchw_fchw_256_16_128_128_8_7_7_61_61,conv_2d_nchw_fchw,93.480111,92.813013,234.938459,2.531309
conv_2d_nchw_fchw_256_256_14_14_1024_1_1_14_14,conv_2d_nchw_fchw,156.081129,107.213907,35.868511,0.334551
conv_2d_nchw_fchw_256_256_14_14_256_3_3_12_12,conv_2d_nchw_fchw,239.611097,114.738716,79.311113,0.691232
conv_2d_nchw_fchw_256_256_16_16_256_3_3_14_14,conv_2d_nchw_fchw,226.141717,208.283767,123.801261,0.594387
conv_2d_nchw_fchw_256_32_32_32_256_7_7_13_13,conv_2d_nchw_fchw,42.886864,530.480491,75.591628,0.142497
conv_2d_nchw_fchw_256_336_14_14_336_1_1_14_14,conv_2d_nchw_fchw,155.853928,46.369800,15.484222,0.333929
conv_2d_nchw_fchw_256_3_230_230_64_7_7_112_112,conv_2d_nchw_fchw,54.561097,623.872676,282.965279,0.453563
conv_2d_nchw_fchw_256_448_28_28_448_1_1_28_28,conv_2d_nchw_fchw,150.006703,393.216656,132.565737,0.337132
conv_2d_nchw_fchw_256_512_28_28_128_1_1_28_28,conv_2d_nchw_fchw,149.031585,129.284408,52.407330,0.405365
conv_2d_nchw_fchw_256_576_14_14_576_1_1_14_14,conv_2d_nchw_fchw,169.047724,137.596537,42.998509,0.312497
conv_2d_nchw_fchw_256_64_56_56_256_1_1_56_56,conv_2d_nchw_fchw,59.799496,327.594099,79.065771,0.241353
conv_2d_nchw_fchw_256_64_56_56_64_3_3_54_54,conv_2d_nchw_fchw,176.798921,194.808012,179.288479,0.920334
conv_2d_nchw_fchw_256_64_64_64_16_3_3_62_62,conv_2d_nchw_fchw,173.033408,81.344592,155.608820,1.912958
