kernel,category,speedup,exec_time_ms,torch_time_ms,speedup_to_torch
matmul_256_1024_1024,matmul,622.977207,1.074934,1.794884,1.669762
matmul_256_1280_1024,matmul,653.730829,1.319710,1.219022,0.923704
matmul_256_128_256,matmul,74.351933,0.147528,0.553960,3.754948
matmul_256_1536_1024,matmul,650.965768,1.588034,1.998730,1.258619
matmul_256_1536_4096,matmul,259.806034,15.114711,8.062012,0.533388
matmul_256_1792_1024,matmul,605.359742,1.995225,2.391172,1.198447
matmul_256_2048_1024,matmul,590.418061,2.271364,2.388486,1.051565
matmul_256_2048_2048,matmul,455.422612,5.677991,5.918599,1.042376
matmul_256_256_128,matmul,81.653975,0.137571,0.280432,2.038453
matmul_256_256_512,matmul,338.810460,0.254511,0.199200,0.782677
matmul_256_4096_1024,matmul,432.899465,5.989942,5.781088,0.965133
matmul_256_512_1024,matmul,366.708591,0.940863,0.562158,0.597492
matmul_256_768_3072,matmul,652.214589,2.317565,3.391218,1.463268
matmul_256_768_768,matmul,481.556284,0.777178,1.355682,1.744365
