kernel,category,speedup,exec_time_ms,torch_time_ms,speedup_to_torch
conv_2d_nchw_fchw_256_128_14_14_32_3_3_12_12,conv_2d_nchw_fchw,228.020128,7.502282,13.300306,1.772835
conv_2d_nchw_fchw_256_128_28_28_128_3_3_26_26,conv_2d_nchw_fchw,197.166936,163.287518,133.165060,0.815525
conv_2d_nchw_fchw_256_128_28_28_32_3_3_26_26,conv_2d_nchw_fchw,194.440005,41.381687,58.375347,1.410657
conv_2d_nchw_fchw_256_128_28_28_512_1_1_28_28,conv_2d_nchw_fchw,154.643135,118.310153,41.282813,0.348937
conv_2d_nchw_fchw_256_128_7_7_32_3_3_5_5,conv_2d_nchw_fchw,92.257527,3.212871,3.346549,1.041607
conv_2d_nchw_fchw_256_16_128_128_8_7_7_61_61,conv_2d_nchw_fchw,70.267257,123.473878,234.938459,1.902738
conv_2d_nchw_fchw_256_256_14_14_1024_1_1_14_14,conv_2d_nchw_fchw,160.814104,104.058458,35.868511,0.344696
conv_2d_nchw_fchw_256_256_14_14_256_3_3_12_12,conv_2d_nchw_fchw,236.797057,116.102244,79.311113,0.683114
conv_2d_nchw_fchw_256_256_16_16_256_3_3_14_14,conv_2d_nchw_fchw,229.575449,205.168492,123.801261,0.603413
conv_2d_nchw_fchw_256_32_32_32_256_7_7_13_13,conv_2d_nchw_fchw,42.862495,530.782085,75.591628,0.142416
conv_2d_nchw_fchw_256_336_14_14_336_1_1_14_14,conv_2d_nchw_fchw,161.837110,44.655490,15.484222,0.346748
conv_2d_nchw_fchw_256_3_230_230_64_7_7_112_112,conv_2d_nchw_fchw,58.601482,580.858652,282.965279,0.487150
conv_2d_nchw_fchw_256_448_28_28_448_1_1_28_28,conv_2d_nchw_fchw,169.336734,348.330412,132.565737,0.380575
conv_2d_nchw_fchw_256_512_28_28_128_1_1_28_28,conv_2d_nchw_fchw,168.745611,114.180512,52.407330,0.458987
conv_2d_nchw_fchw_256_576_14_14_576_1_1_14_14,conv_2d_nchw_fchw,176.264212,131.963154,42.998509,0.325837
conv_2d_nchw_fchw_256_64_56_56_256_1_1_56_56,conv_2d_nchw_fchw,60.397728,324.349319,79.065771,0.243767
conv_2d_nchw_fchw_256_64_56_56_64_3_3_54_54,conv_2d_nchw_fchw,182.347436,188.880344,179.288479,0.949217
conv_2d_nchw_fchw_256_64_64_64_16_3_3_62_62,conv_2d_nchw_fchw,171.003407,82.310243,155.608820,1.890516
