kernel,category,speedup,exec_time_ms,torch_time_ms,speedup_to_torch
conv_2d_nchw_fchw_256_128_14_14_32_3_3_12_12,conv_2d_nchw_fchw,99.323651,17.223202,13.300306,0.772232
conv_2d_nchw_fchw_256_128_28_28_128_3_3_26_26,conv_2d_nchw_fchw,197.212048,163.250167,133.165060,0.815712
conv_2d_nchw_fchw_256_128_28_28_32_3_3_26_26,conv_2d_nchw_fchw,186.642734,43.110467,58.375347,1.354088
conv_2d_nchw_fchw_256_128_28_28_512_1_1_28_28,conv_2d_nchw_fchw,134.446091,136.083190,41.282813,0.303365
conv_2d_nchw_fchw_256_128_7_7_32_3_3_5_5,conv_2d_nchw_fchw,95.671095,3.098235,3.346549,1.080147
conv_2d_nchw_fchw_256_16_128_128_8_7_7_61_61,conv_2d_nchw_fchw,97.279746,89.187843,234.938459,2.634198
conv_2d_nchw_fchw_256_256_14_14_1024_1_1_14_14,conv_2d_nchw_fchw,178.200758,93.905704,35.868511,0.381963
conv_2d_nchw_fchw_256_256_14_14_256_3_3_12_12,conv_2d_nchw_fchw,101.639805,270.491170,79.311113,0.293211
conv_2d_nchw_fchw_256_256_16_16_256_3_3_14_14,conv_2d_nchw_fchw,234.975871,200.453130,123.801261,0.617607
conv_2d_nchw_fchw_256_32_32_32_256_7_7_13_13,conv_2d_nchw_fchw,42.780744,531.796379,75.591628,0.142144
conv_2d_nchw_fchw_256_336_14_14_336_1_1_14_14,conv_2d_nchw_fchw,155.054476,46.608880,15.484222,0.332216
conv_2d_nchw_fchw_256_3_230_230_64_7_7_112_112,conv_2d_nchw_fchw,87.460173,389.196323,282.965279,0.727050
conv_2d_nchw_fchw_256_448_28_28_448_1_1_28_28,conv_2d_nchw_fchw,143.804700,410.175286,132.565737,0.323193
conv_2d_nchw_fchw_256_512_28_28_128_1_1_28_28,conv_2d_nchw_fchw,142.414662,135.291268,52.407330,0.387367
conv_2d_nchw_fchw_256_576_14_14_576_1_1_14_14,conv_2d_nchw_fchw,197.534712,117.753387,42.998509,0.365157
conv_2d_nchw_fchw_256_64_56_56_256_1_1_56_56,conv_2d_nchw_fchw,63.320208,309.379304,79.065771,0.255563
conv_2d_nchw_fchw_256_64_56_56_64_3_3_54_54,conv_2d_nchw_fchw,190.964194,180.357614,179.288479,0.994072
conv_2d_nchw_fchw_256_64_64_64_16_3_3_62_62,conv_2d_nchw_fchw,229.382424,61.361859,155.608820,2.535921
