kernel,category,speedup,exec_time_ms,torch_time_ms,speedup_to_torch
add_256_11_11_672,add,6.528104,4.797606,6.908124,1.439911
add_256_14_14_1024,add,5.524295,12.119652,17.527356,1.446193
add_256_14_14_88,add,4.909338,1.864057,1.774828,0.952132
add_256_15_15_304,add,5.769803,4.514026,5.722766,1.267774
add_256_21_21_336,add,6.098483,9.345926,12.065914,1.291035
add_256_28_28_512,add,5.348665,24.847465,33.770890,1.359128
add_256_42_42_168,add,5.606411,20.037559,24.156924,1.205582
add_256_56_56_256,add,5.714537,46.474049,64.578398,1.389558
add_256_7_7_176,add,6.298634,0.952806,0.343855,0.360887
add_256_7_7_2048,add,5.550040,6.041328,8.535205,1.412803
