kernel,category,speedup,exec_time_ms,torch_time_ms,speedup_to_torch
add_256_11_11_672,add,7.094840,4.414373,6.908124,1.564916
add_256_14_14_1024,add,5.883992,11.378760,17.527356,1.540357
add_256_14_14_88,add,5.006590,1.827848,1.774828,0.970993
add_256_15_15_304,add,7.181026,3.626925,5.722766,1.577856
add_256_21_21_336,add,6.735843,8.461594,12.065914,1.425962
add_256_28_28_512,add,5.504806,24.142680,33.770890,1.398805
add_256_42_42_168,add,6.402618,17.545758,24.156924,1.376796
add_256_56_56_256,add,5.427208,48.934491,64.578398,1.319691
add_256_7_7_176,add,6.294617,0.953414,0.343855,0.360657
add_256_7_7_2048,add,6.136006,5.464404,8.535205,1.561964
