kernel,category,speedup,exec_time_ms,torch_time_ms,speedup_to_torch
pooling_nchw_max_256_11_113_113_3_56_56,pooling_nchw_max,25.846566,3.292747,10.594743,3.217600
pooling_nchw_max_256_192_71_71_3_35_35,pooling_nchw_max,28.177634,20.542874,67.068847,3.264823
pooling_nchw_max_256_22_57_57_3_28_28,pooling_nchw_max,20.935372,2.058549,6.104210,2.965297
pooling_nchw_max_256_336_43_43_3_21_21,pooling_nchw_max,28.447170,12.694831,42.005026,3.308829
pooling_nchw_max_256_42_167_167_3_83_83,pooling_nchw_max,29.101405,24.316912,83.736606,3.443554
pooling_nchw_max_256_64_114_114_3_56_56,pooling_nchw_max,29.661741,16.990465,57.999227,3.413634
pooling_nchw_max_256_64_147_147_3_73_73,pooling_nchw_max,28.728169,28.927158,99.455502,3.438136
pooling_nchw_max_256_672_23_23_3_11_11,pooling_nchw_max,30.083583,8.074620,23.433844,2.902161
pooling_nchw_max_256_84_85_85_3_42_42,pooling_nchw_max,28.230348,12.796669,42.400160,3.313375
pooling_nchw_max_256_88_29_29_3_14_14,pooling_nchw_max,26.285832,2.054035,6.075529,2.957851
