kernel,category,speedup,exec_time_ms,torch_time_ms,speedup_to_torch
pooling_nchw_max_256_11_113_113_3_56_56,pooling_nchw_max,15.007022,5.671092,10.594743,1.868202
pooling_nchw_max_256_192_71_71_3_35_35,pooling_nchw_max,26.841899,21.565150,67.068847,3.110057
pooling_nchw_max_256_22_57_57_3_28_28,pooling_nchw_max,20.816845,2.070270,6.104210,2.948509
pooling_nchw_max_256_336_43_43_3_21_21,pooling_nchw_max,26.978357,13.385990,42.005026,3.137984
pooling_nchw_max_256_42_167_167_3_83_83,pooling_nchw_max,26.931653,26.276007,83.736606,3.186809
pooling_nchw_max_256_64_114_114_3_56_56,pooling_nchw_max,21.273608,23.689765,57.999227,2.448282
pooling_nchw_max_256_64_147_147_3_73_73,pooling_nchw_max,27.109577,30.654269,99.455502,3.244426
pooling_nchw_max_256_672_23_23_3_11_11,pooling_nchw_max,26.191234,9.274611,23.433844,2.526666
pooling_nchw_max_256_84_85_85_3_42_42,pooling_nchw_max,26.477090,13.644038,42.400160,3.107596
pooling_nchw_max_256_88_29_29_3_14_14,pooling_nchw_max,22.965603,2.350995,6.075529,2.584237
