kernel,category,speedup,exec_time_ms,torch_time_ms,speedup_to_torch
relu_256_100,relu,0.178461,0.098929,0.028632,0.289420
relu_256_1000,relu,0.924445,0.205637,0.104026,0.505872
relu_256_14_14_672,relu,6.822349,6.381617,8.312300,1.302538
relu_256_14_14_88,relu,3.936834,1.804830,1.050609,0.582110
relu_256_2048,relu,1.361341,0.322479,0.103976,0.322427
relu_256_23_23_336,relu,6.830652,8.532895,10.547464,1.236094
relu_256_29_29_22,relu,2.756329,1.853715,1.196952,0.645704
relu_256_36_36_192,relu,6.513491,12.393050,15.135930,1.221324
relu_256_43_43_84,relu,6.520666,7.711403,9.463982,1.227271
relu_256_512,relu,0.734180,0.132819,0.102261,0.769927
relu_256_57_57_64,relu,6.752535,10.066629,12.796590,1.271189
relu_256_74_74_64,relu,6.563145,17.478103,20.786360,1.189280
relu_256_85_85_42,relu,6.529347,15.161640,18.312990,1.207850
