kernel,category,speedup,exec_time_ms,torch_time_ms,speedup_to_torch
relu_256_100,relu,0.196687,0.089762,0.028632,0.318977
relu_256_1000,relu,1.218683,0.155988,0.104026,0.666885
relu_256_14_14_672,relu,7.135925,6.101188,8.312300,1.362407
relu_256_14_14_88,relu,5.281589,1.345299,1.050609,0.780948
relu_256_2048,relu,1.715308,0.255933,0.103976,0.406263
relu_256_23_23_336,relu,6.823644,8.541659,10.547464,1.234826
relu_256_29_29_22,relu,3.744717,1.364442,1.196952,0.877247
relu_256_36_36_192,relu,6.490915,12.436154,15.135930,1.217091
relu_256_43_43_84,relu,6.869719,7.319584,9.463982,1.292967
relu_256_512,relu,0.866490,0.112538,0.102261,0.908680
relu_256_57_57_64,relu,6.793952,10.005261,12.796590,1.278986
relu_256_74_74_64,relu,6.465662,17.741620,20.786360,1.171616
relu_256_85_85_42,relu,6.553373,15.106054,18.312990,1.212295
