kernel,category,speedup_min,speedup_q25,speedup_median,speedup_q75,speedup_max,exec_time_ms_min,exec_time_ms_q25,exec_time_ms_median,exec_time_ms_q75,exec_time_ms_max
add_256_11_11_672,add,0.9965649843311,1.0352282992805129,1.241004646030428,1.3002091509128868,1.3376090414914912,23.414367,24.08787,25.237028,30.25349,31.427222
add_256_14_14_1024,add,5.079189721293159,6.084603591970227,6.097420055789962,6.142609940522156,6.269767326002057,10.678632,10.899689,10.98047,11.003599,13.181736
add_256_14_14_88,add,3.146105599419135,5.2742118609878395,6.1841865186094225,9.183242684542208,13.27656645112806,0.689281,0.99652,1.479788,1.7351,2.908766
add_256_15_15_304,add,2.3445232942349037,2.3596398857408856,2.371237504477075,2.381874880483482,2.4120152523948324,10.798042,10.934681,10.983734,11.037719,11.108886
add_256_21_21_336,add,2.4499243908498745,2.4762268464030437,2.4839417939057715,2.506277878265614,2.5434146719791793,22.409233,22.741282,22.945776,23.017266,23.26438
add_256_28_28_512,add,5.627166330210055,5.680620824617969,5.694900025509064,5.700828331196071,6.083417782804185,21.846397,23.312535,23.336803,23.395464,23.617706
add_256_42_42_168,add,6.56672646968769,6.699500317087655,6.759059668327189,6.784941724308188,7.009619393031799,16.026375,16.557075,16.620476,16.768234,17.107274
add_256_56_56_256,add,5.402874053949629,5.438282771070817,5.493525420727006,5.497757250171493,5.577641576111103,47.614689,48.306547,48.343759,48.83484,49.154888
add_256_7_7_176,add,4.203683403530425,6.599146486155416,9.287539753162843,10.36356728902888,12.644804598282386,0.474612,0.579084,0.646175,0.909417,1.427647
add_256_7_7_2048,add,2.083301650586702,2.9893246090051124,3.0031851326916192,3.022568289602344,3.047349615923181,11.002877,11.093087,11.164684,11.216451,16.094459
conv_2d_nchw_fchw_256_128_14_14_32_3_3_12_12,conv_2d_nchw_fchw,14.903751791244169,15.112559848644649,15.115201378955023,15.284659784901281,15.676542400347175,109.122998,111.920797,113.175555,113.195337,114.781253
conv_2d_nchw_fchw_256_128_28_28_128_3_3_26_26,conv_2d_nchw_fchw,14.813521495565643,14.822078442850927,15.041922128310999,15.131286969451716,15.200895222343322,2117.960766,2127.703992,2140.344792,2172.090764,2173.34546
conv_2d_nchw_fchw_256_128_28_28_32_3_3_26_26,conv_2d_nchw_fchw,13.594546769521822,13.631734657489,13.817715904951394,13.941955593664744,13.994061874632495,574.976409,577.12531,582.314436,590.259101,591.873755
conv_2d_nchw_fchw_256_128_28_28_512_1_1_28_28,conv_2d_nchw_fchw,46.67630748426982,47.314683115081955,48.12972649992036,48.511096871364664,50.19199078296895,364.517379,377.147789,380.136233,386.684465,391.973014
conv_2d_nchw_fchw_256_128_7_7_32_3_3_5_5,conv_2d_nchw_fchw,34.27404058679407,34.76325479301422,35.38542938678984,35.588133332164716,36.012761677692005,8.230736,8.328943,8.376655,8.526576,8.648281
conv_2d_nchw_fchw_256_16_128_128_8_7_7_61_61,conv_2d_nchw_fchw,9.861757569377119,9.997437340580612,10.017466456447488,10.123459356432617,10.243656771673944,846.979838,857.036162,866.104298,867.839473,879.779359
conv_2d_nchw_fchw_256_256_14_14_1024_1_1_14_14,conv_2d_nchw_fchw,76.04498356143957,76.834078507012,76.93869428345423,77.09391874995393,77.56977860551092,215.729218,217.0608,217.498722,217.794864,220.054853
